id,name,lat,long,count,duration,q10_max,q50_max,q90_max,q10_min,q50_min,q90_min
802,CHM00058633,28.6,115.917,2.6,14,34.98,38.9,40.9,327.562,33.663,367.234
803,CHM00058666,28.967,118.867,2.2,28,29.2,31.3,32.14,26.996,28.455,29.509
804,CHM00058715,28.45,121.883,3.2,9.5,35.72,37.3,40.26,331.997,340.425,359.255
805,CHM00058834,27.583,116.65,3.6,11,36.13,38.2,41.8,335.749,34.691,378.952
806,CHM00058847,26.633,118,4.4,10,37.21,38.7,41.7,335.225,341.065,370.515
807,CHM00058921,26.083,119.283,4.6,10,36.3,37.9,40.1,33.88,34.781,369.204
808,CHM00059023,25.967,117.35,4,8,34.7,37.3,38.3,327.485,338.745,347.365
809,CHM00059082,24.7,108.05,4,9.5,35.6,37,39.45,32.986,34.044,357.395
810,CHM00059134,24.667,113.6,3.6,11.5,34.93,36.9,38.5,320.683,327.455,336.849
811,CHM00059211,24.483,118.083,3,9,37.3,38.6,39.1,34.764,35.377,36.289
812,CHM00059254,23.9,106.6,3.6,6.5,34.78,36.4,38.92,333.918,340.895,353.055
813,CHM00059265,23.4,110.083,3.2,8.5,35.08,36.85,37.8,339.035,34.558,351.568
814,CHM00059287,23.483,111.3,3.8,8,34.84,36.6,39.1,332.332,34.1,35.505
815,CHM00059293,23.217,113.483,3.4,8,35.38,37.6,39,335.598,34.614,354.284
816,CHM00059316,23.8,114.733,3.6,15,36.6,37,38.4,328.785,33.263,336.766
817,CHM00059417,23.4,116.683,3.2,7.5,35.14,37.15,38.8,34,348.645,354.441
818,CHM00059431,22.367,106.75,4,7,35.1,36,38.5,327.175,338.675,34.728
819,CHM00059501,22.633,108.217,4.4,8,33.5,34.35,35.1,319.027,32.099,325.986
820,CHM00059632,22.783,115.367,3.6,7,33.75,35.3,37.3,33.058,33.524,338.846
821,CHM00059663,21.95,108.617,3.2,8.5,32.96,35.2,36.16,32.399,32.993,334.639
822,CHM00059758,21.867,111.967,2,6,34.1,36.8,37.7,33.693,349.135,356.625
823,CHM00059838,20,110.25,0.6,22,33.3,33.5,34.5,32.482,32.54,32.843
824,CHM00059855,19.1,108.617,2.8,5.5,35.37,36.05,37.4,335.297,34.517,347.568
825,CHM00059948,19.233,110.467,4.8,7,33.18,34.2,35.4,321.937,324.025,334.645
826,CHM00059981,18.217,109.583,4.8,9,33.2,33.5,33.8,317.076,321.305,32.517
827,CI000085406,16.833,112.333,3.8,12,26.96,28.7,29.48,256.384,26.001,26.358
828,CI000085442,-18.35,-70.333,4.4,9,25.6,26,28.2,23.449,236.195,238.897
829,CI000085469,-23.433,-70.45,3.2,14,28.08,29.4,30.8,273.589,27.841,282.784
830,CI000085488,-27.167,-109.433,4.6,10,23.4,24.2,25.6,211.304,21.643,222.554
831,CI000085585,-29.917,-71.2,7,8,23.8,25,26.4,21.308,21.705,22.352
832,CI000085629,-33.633,-75.817,5,8,33,34.7,35,30.138,30.474,31.223
833,CI000085799,-34.967,-71.233,6.4,5,212.017,23.3,30.1,202.675,20.641,212.551
834,CI000085934,-41.433,-73.1,6.8,5.5,19.8,20.55,26.8,157.335,160.085,167.131
835,CIM00085577,-53,-70.967,2,61.5,31.272,31.272,31.272,30.335,30.396,30.457
836,CIM00085672,-33.433,-70.683,6,6.5,309.095,33.4,37.45,292.345,30.32,31.103
837,CIM00085864,-36.582,-72.031,6.8,4,22.8,27.2,33.8,199.065,20.569,230.277
838,CJW00011813,-45.594,-72.106,1,216,32.133,32.133,32.133,31.391,31.391,31.391
839,CK000096996,19.3,-813.667,2.2,15,31,32,32,299.604,30.544,306.966
840,CM000004910,-12.183,96.833,5,5,34.4,35.2,39.8,33.122,33.312,33.922
841,CO000080001,4.02,9.72,2.6,5,30.357,32.6,33.42,30.357,30.864,316.808
842,CO000080222,12.583,-81.717,1,4,20.4,22.3,22.5,20.337,21.053,21.074
843,CO000080259,4.701,-74.15,2.2,4,31.36,33.2,34.8,306.172,31.505,319.562
844,CO000080342,3.55,-76.383,0,NA,NA,NA,NA,NA,NA,NA
845,COM00080009,1.417,-77.267,4,4,35.3,36.2,37.2,339.305,344.425,349.775
846,COM00080022,11.12,-74.231,3.6,4,33.1,34.3,35,322.374,32.505,326.377
847,COM00080028,10.442,-75.513,2.6,4,343.618,35.2,36.7,335.592,33.837,34.508
848,COM00080036,10.89,-74.781,0.4,27.5,38,38,38,36.186,362.185,36.251
849,COM00080063,10.435,-73.25,0.6,11,35.6,35.6,35.6,34.829,34.899,35.155
850,COM00080091,8.824,-75.826,0.2,40,34,34,34,32.99,32.99,32.99
851,COM00080097,7.024,-73.807,7,4,35.7,36.6,37.9,33.861,34.489,34.828
852,COM00080099,7.928,-72.512,0,NA,NA,NA,NA,NA,NA,NA
853,COM00080110,7.069,-70.737,0,NA,NA,NA,NA,NA,NA,NA
854,COM00080144,6.22,-75.591,0,NA,NA,NA,NA,NA,NA,NA
855,COM00080210,5.691,-76.641,4.4,4,29.34,30.35,31.6,286.036,287.765,29.108
856,COM00080211,4.813,-75.74,0.6,4,30.6,30.8,31,29.711,29.879,29.987
857,COM00080234,4.453,-75.766,0.4,121.5,32.699,32.699,32.699,31.973,31.976,31.979
858,COM00080315,4.168,-73.614,5.8,5,35.284,37.5,38.6,346.814,35.473,358.652
859,COM00080370,2.95,-75.294,0,NA,NA,NA,NA,NA,NA,NA
860,COM00080398,0.862,-77.672,4.2,4,333.712,34.6,35.4,325.638,32.699,332.134
861,CS000081003,-4.193,-69.943,2.4,5.5,30.7,31,32.35,301.951,30.275,310.404
862,CSM00078762,9.967,-83.017,3.8,5,30.78,31.6,33.4,300.906,30.629,31.004
863,CT000004600,9.994,-84.209,2.8,4.5,32.137,36.1,36.5,321.126,32.309,334.135
864,CUM00078355,4.22,15.78,1.4,94,328.126,33.023,34.5,31.981,32.169,327.094
865,CUW00011706,21.4,-77.85,6.6,9,32.2,34.4,35,318.434,32.283,32.727
866,CY000176090,19.9,-75.15,3,10,36,37.6,40.7,32.508,33.453,33.676
867,DA000032020,348.831,336.331,2.6,9,24.04,27.1,29.12,191.032,20.781,213.916
868,DAM00006030,55.3,147.831,4,7.5,22.7,28.3,30.8,19.638,21.177,22.509
869,DRM00078486,57.093,9.849,7.2,5.5,32.6,34.5,35.5,322.891,325.555,327.204
870,EC000000006,18.433,-69.883,0,NA,NA,NA,NA,NA,NA,NA
871,EG000062306,-1.1,-79.467,3.6,10.5,31.91,38.4,44.2,299.755,30.716,317.632
872,EG000062414,313.331,272.167,3.8,10,44.8,46.6,48.1,42.117,42.472,43.15
873,EG000062417,239.667,327.831,3.8,17,42.8,43.4,45.92,385.966,39.082,402.814
874,EG000062432,29.2,253.167,3.8,8,41.48,44.4,46.56,399.916,40.976,411.754
875,EGM00062318,254.831,29,4.4,9.5,32.1,36,39.4,304.884,30.857,31.758
876,EGM00062387,31.184,29.949,4.8,8,40.63,42.35,44.9,372.058,374.585,385.163
877,EGM00062423,28.083,30.733,3.8,8,40.06,44.5,46.6,38.44,39.156,409.208
878,EGM00062435,27.05,27.983,4.6,7,43.4,46.2,48.24,40.98,41.897,433.704
879,EI000003953,25.45,30.533,4.2,9,20.3,22.4,26.1,17.298,18.284,197.496
880,EI000003969,519.394,-102.219,5.6,7,22.11,24.8,27.1,192.978,201.635,21.453
881,EI000003980,533.639,-63.192,4.2,9,19.1,22.3,24.5,165.608,17.248,182.502
882,EIM00003973,553.717,-7.34,4.4,9,19.97,22.85,25.36,168.999,17.442,18.423
883,EN000026029,53.91,-8.818,1.6,57,218.746,29.2,31.53,191.658,21.725,228.539
884,EN000026038,59.383,24.033,2.4,30,193.371,27.35,29.28,186.205,204.595,222.114
885,EN000026045,593.831,245.831,2.6,8,25.34,27.9,30.76,19.745,21.31,229.264
