name;lat;long;count;duration;q10_max;q50_max;q90_max;q10_min;q50_min;q90_min
RSM00024382;66,7667;123,4;3;19;25;32,7;35,8;18,12;22,232;24,506
RSM00024507;66,45;143,2297;3;23;29,2;31,4;32,7;21,431;23,352;24,431
RSM00024585;64,2667;100,2331;1;94;22,677;22,677;22,677;20,368;20,368;20,368
RSM00024606;64,566;143,2;3,6;10;27,19;31,1;33,5;21,5018;23,625;25,4093
RSM00024639;63,58;103,97;2,2;24;28,08;33,2;34,4;20,7326;22,945;25,1784
RSM00024641;63,283;118,333;2,2;24;28,5;34,4;35,46;20,6338;22,901;26,5226
RSM00024652;63,7831;121,6167;2;34,5;21,25;29;31,95;16,573;20,597;23,465
RSM00024656;63,967;127,467;2,4;20,5;20,0305;29,9;34,82;16,8687;20,162;23,5598
RSM00024661;63,517;129,483;2;37;25,5;31,65;32,55;19,335;21,8765;24,0455
RSM00024671;64;130,3;2;36,5;23,4;32,1;36,8;18,4815;21,775;24,8835
RSM00024688;63,95;135,87;2;41,5;18,45;29,4;32,1;15,3965;20,6385;22,6945
RSM00024738;63,25;143,15;2,8;18,5;31;33,9;36,6;22,1093;23,917;26,1699
RSM00024768;62,15;117,65;1,4;59;29,34;32,6;34,38;22,2452;23,295;25,2366
RSM00024790;62,033;132,6;2,8;11;18,2;29;32,52;14,04;20,142;21,7413
RSM00024817;62,78;148,17;2,8;15,5;29,71;33,5;34,4;22,5394;25,359;26,5659
RSM00024856;61,2667;108,0167;1,8;43;26,48;33,9;34,84;19,199;22,987;25,2086
RSM00024908;61,483;129,15;2,8;19;31,74;32,3;34,35;23,2578;24,77;26,2749
RSM00024918;60,3331;102,2667;1;94;23,876;23,876;23,876;21,381;21,381;21,381
RSM00024923;60,067;107,967;4;11,5;21,604;30,3;35;20,8985;23,0405;26,36
RSM00024944;60,72;114,88;2,4;19;31,1;32,75;35,9;23,1064;25,773;26,6595
RSM00024951;60,4;120,4167;2,4;25;28,32;32,6;34,9;21,4042;24,388;26,198
RSM00024959;60,8167;125,3167;2,4;30;28,32;34,9;35,49;21,785;23,697;26,4351
RSM00024962;62,0167;129,7167;2;29;24,85;34,45;35,35;20,2865;22,8855;25,2765
RSM00024966;60,9;131,983;2,6;18;28,4;33;34,3;21,5158;24,668;25,8202
RSM00024967;60,3831;134,4497;2,4;16;33,54;35,3;35,89;23,5494;25,617;27,5705
RSM00024982;60,47;130;3;10;22;29,5;32,5;16,04;20,525;22,012
RSM00024988;60,72;142,78;3,2;12,5;25,69;30,4;33,3;18,1553;20,0165;21,1751
RSM00025034;60,083;142,333;4,4;10;19,25;25,5;31,6;9,79345;13,548;15,6386
RSM00025062;69,62;162,3;3,8;11;8,48404;19,5;24,4;5,8968;9,24;10,413
RSM00025123;69,8797;175,77;4,4;11;19,2;28,7;32,1;14,8863;17,336;18,8083
RSM00025138;68,75;161,283;2,2;31;21,6;29,4;33,08;16,8688;19,782;21,5604
RSM00025206;68,12;164,17;2,4;25,5;22,14;30,75;32,92;15,6839;18,8395;20,8606
RSM00025248;67,45;153,72;1,8;44;23,46;29;32,7;15,7426;18,075;20,5942
RSM00025282;67,25;168,97;3;10;10,24;24,4;27,1;8,1213;10,965;14,58
RSM00025356;67,83;-175,8;2,2;22;22,3;30,4;33,2;16,7734;20,237;21,5742
RSM00025378;66,3797;173,33;3,2;9,5;17,75;23,2;24,98;12,4796;14,2165;15,3073
RSM00025399;66,3497;-179,1;3;12;14,4;17,9;22;8,8808;10,674;13,986
RSM00025400;66,17;-169,8;2,4;25;19,33;33,6;36;16,3991;21,083;23,6532
RSM00025428;65,73;150,9;2,4;16,5;20,09;30,4;32,39;16,0082;20,456;22,5032
RSM00025503;65,23;160,53;2;36;22,55;31,45;35,95;18,0615;21,4025;24,4145
RSM00025538;64,75;153,97;2,2;27;23,42;28;34,2;16,601;19,241;21,1614
RSM00025551;64,22;164,23;2;31,5;25,5;30,2;32,05;19,475;21,346;22,644
RSM00025563;64,6831;170,4167;2,4;25;18,77;25,65;27,8;13,39;16,2755;16,8584
RSM00025594;64,7831;177,5667;2,6;24;16,8;19,3;24,9;11,4392;13,091;14,7998
RSM00025703;64,4167;-173,2333;2,8;20;23,3;32,8;35,81;18,6778;21,402;24,6994
RSM00025705;62,9167;152,4167;2,8;21;23,52;31,95;36;18,2247;22,598;24,9056
RSM00025715;62,45;152,32;1;94;20,752;20,752;20,752;18,12;18,12;18,12
RSM00025745;62,5;155,783;1,2;70,5;19,7671;26,85;38,43;17,0377;17,403;19,7475
RSM00025913;62,4831;166,2167;2,2;15;19,04;23,3;24,4;14,1062;15,036;15,97
RSM00025927;59,55;150,7831;2,2;20;20,88;27,6;32,3;14,114;16,214;17,1966
RSM00025956;59,65;154,27;2;38,5;14,927;18,05;23,25;11,697;13,1785;14,0165
RSM00026059;60,43;169,67;4;9;25,35;28,15;30,9;20,807;22,351;24,5035
RSM00026063;59,367;28,6;3,2;10;28,3;28,6;32,9;21,3641;22,937;24,888
RSM00026069;59,9667;30,3;3,6;14;26,09;28,6;32,08;21,274;22,7965;24,1185
RSM00026072;59,4;30,1;1;94;21,471;21,471;21,471;21,178;21,178;21,178
RSM00026078;59,933;31;1;94;22,121;22,121;22,121;20,854;20,854;20,854
RSM00026094;59,35;31,233;3,6;9;26,8;31,55;33,89;21,9546;24,2715;25,6289
RSM00026099;59,7;33,6;1;94;21,751;21,751;21,751;21,126;21,126;21,126
RSM00026157;59,5;34,7;3,8;10;25,46;28,4;30,6;19,8322;21,868;24,452
RSM00026167;58,7;27,8;3,6;11;25,31;29,25;33,05;21,2364;22,0825;24,2438
RSM00026179;58,567;29,8;1;94;22,939;22,939;22,939;22,226;22,226;22,226
RSM00026268;58,517;31,25;1;92;22,816;22,816;22,816;21,825;21,825;21,825
RSM00026275;57,817;29,95;4,2;8;27,46;30,2;33,6;22,4944;23,84;25,8276
RSM00026285;58;31,3;1;94;22,963;22,963;22,963;22,565;22,565;22,565
RSM00026291;58,267;32,533;1;94;23,177;23,177;23,177;22,648;22,648;22,648
RSM00026298;58,417;33,9;3,6;9,5;26,96;29,3;33,7;21,982;23,418;25,3835
RSM00026359;57,9;34,1;3,8;9;25,46;29,3;32,38;21,3664;22,75;25,494
RSM00026378;57;28,9;1;94;22,575;22,575;22,575;21,471;21,471;21,471
RSM00026381;57,15;31,183;1;94;23,762;23,762;23,762;23,291;23,291;23,291
RSM00026389;57,65;32,467;4;8;25,5;28,6;31,8;20,8575;22,5335;24,5285
RSM00026393;57,133;33,117;1;94;22,479;22,479;22,479;21,201;21,201;21,201
RSM00026477;57,55;34,567;4,2;10;25,96;29,4;32,36;21,6488;23,348;25,218
RSM00026585;56,35;30,6167;2,2;14;22,122;29;30,32;20,7406;21,146;22,8676
RSM00026695;55,85;32,95;4;7;26,3;28,5;33,2;21,7465;23,384;25,8255
RSM00026702;55,167;34,4;3,6;10;26,47;31,75;32,7;22,0626;23,2185;26,5296
RSM00026781;54,7167;20,55;4,2;7;26,34;29,1;32,6;21,4416;22,735;26,1442
RSM00026795;54,75;32,0667;1;94;22,98;22,98;22,98;21,844;21,844;21,844
RSM00026882;54,417;34,017;4,4;6,5;25,74;28,1;32,9;21,766;22,7065;26,5344
RSM00026894;53,933;32,833;1;94;23,978;23,978;23,978;23,246;23,246;23,246
RSM00026976;53,533;33,75;3,4;9;28,6;29,9;35,08;23,5878;25,035;27,5956
RSM00026997;53;31,6;3,8;11;26,68;30,4;33,64;21,9872;23,842;26,975
RSM00027008;52,6;33,7997;3,2;8;26,74;30,3;33,6;22,5461;24,55;25,6666
RSM00027037;59,4;35,9;3,4;10;25,12;30,5;33,12;22,1794;24,837;25,3086
RSM00027051;59,3167;39,9167;2,8;15,5;25,53;30,45;32,9;22,1311;24,1835;25,1212
RSM00027066;59,97;42,75;3;17;27,3;31,9;34,1;22,787;24,827;25,874
RSM00027083;59,53;45,45;2,4;18;28,47;30,8;33;22,6943;24,027;26,3585
RSM00027108;59,9;48,3;1;94;21,782;21,782;21,782;20,892;20,892;20,892
RSM00027113;58,567;35,633;3,2;11;26,1;30,3;33,02;21,7523;23,6955;25,3679
RSM00027164;59,25;37,967;3,6;10,5;27,06;31;34,18;23,249;24,922;26,108
RSM00027199;58,82;44,32;3;16;24,3;32;33,9;22,08;24,773;26,64
RSM00027242;58,6;49,6331;3,4;7;26,54;32,2;34,4;22,8314;24,898;26,6756
RSM00027252;58,483;41,533;2,8;10,5;24,16;30,2;36,4;21,2808;23,785;25,7479
RSM00027271;58,35;43,383;3,2;12,5;27,6;31;35,57;22,1769;24,2435;25,0349
RSM00027277;58,367;45,533;2,8;18,5;28,31;32,15;33,59;24,0713;25,104;26,5198
RSM00027316;57,9;45,8;1;94;22,505;22,505;22,505;21,069;21,069;21,069
RSM00027321;57,35;37,583;1;92;24,247;24,247;24,247;22,095;22,095;22,095
RSM00027329;57,5;38,3;3;16;26,1;29,4;33,4;21,814;24,418;25,994
RSM00027333;57,2;39,417;3,2;7,5;25,87;30,35;33,53;22,2384;24,328;26,2738
RSM00027347;57,7331;40,85;1;94;22,965;22,965;22,965;21,754;21,754;21,754
RSM00027355;56,95;40,967;2,4;12;25,01;29,4;34,1;21,6018;23,3855;25,2804
RSM00027369;57,333;43,117;3,4;12;24,88;31;35,8;22,4506;24,048;26,0496
RSM00027373;57,133;45,167;2,6;11;27,22;31,1;33,36;22,5304;23,95;25,301
RSM00027393;57,667;46,633;2,8;10;24,07;32;32,96;21,1647;24,6105;25,2145
RSM00027402;57,55;49,95;3,8;7;27,22;30,7;33,5;22,7428;24,91;25,8618
RSM00027417;56,883;35,867;1;92;24,08;24,08;24,08;22,38;22,38;22,38
RSM00027459;56,35;36,75;3,4;10;27,86;31,4;34,28;22,494;24,532;26,075
RSM00027485;56,2667;44;1,8;19;27,78;32,3;34,9;23,5342;25,7;27,1848
RSM00027491;56,6;47,9;1;94;24,7;24,7;24,7;23,624;23,624;23,624
RSM00027507;57;48,733;1;94;24,03;24,03;24,03;21,886;21,886;21,886
RSM00027511;55,517;35,033;1;94;25,023;25,023;25,023;22,59;22,59;22,59
RSM00027523;55,9;36,817;1;94;25,717;25,717;25,717;23,289;23,289;23,289
RSM00027532;55,767;38,683;3,2;9,5;25,66;30,75;32,85;21,9696;23,9185;25,6376
RSM00027539;56,117;40,35;1;94;23,93;23,93;23,93;22,605;22,605;22,605
RSM00027577;55,6;40,65;1;94;24,376;24,376;24,376;23,417;23,417;23,417
RSM00027595;55,533;45,5;2;30,5;25,6;32,8;34,45;23,44;25,416;26,5185
RSM00027606;55,7331;49,2;1;94;24,642;24,642;24,642;23,192;23,192;23,192
RSM00027611;55,017;36,483;1;94;25,019;25,019;25,019;22,95;22,95;22,95
RSM00027612;55,383;36,7;3;16;25,3;30,9;33,4;21,867;24,018;26,476
RSM00027627;55,8331;37,6167;1;94;22,827;22,827;22,827;21,816;21,816;21,816
RSM00027643;54,833;38,15;1;94;24,983;24,983;24,983;23,765;23,765;23,765
RSM00027648;55,333;42,117;3,2;15,5;28,16;31,9;34,7;24,3068;25,3955;26,9409
RSM00027653;54,95;41,7667;1;94;23,896;23,896;23,896;22,874;22,874;22,874
RSM00027665;55,367;43,783;2,6;13;28,2;30,5;33,94;22,892;24,358;26,4226
RSM00027675;55;44,5;2,8;13,5;27,6;30,6;34,43;23,2598;24,6195;26,6916
RSM00027679;55,18;46,33;4,2;10;27,26;30;33,4;21,986;23,925;25,1344
